"gender","type","year","y","wr"
"men","100 metres",2001,10.183299389002,10.4384133611691
"men","100 metres",2002,10.1112234580384,10.4384133611691
"men","100 metres",2003,10.0704934541793,10.4384133611691
"men","100 metres",2004,10.1522842639594,10.4384133611691
"men","100 metres",2005,10.2354145342886,10.4384133611691
"men","100 metres",2006,10.2354145342886,10.4384133611691
"men","100 metres",2007,10.2669404517454,10.4384133611691
"men","100 metres",2008,10.3199174406605,10.4384133611691
"men","100 metres",2009,10.4384133611691,10.4384133611691
"men","100 metres",2010,10.2249488752556,10.4384133611691
"men","100 metres",2011,10.2459016393443,10.4384133611691
"men","100 metres",2012,10.3842159916926,10.4384133611691
"men","100 metres",2013,10.2354145342886,10.4384133611691
"men","100 metres",2014,10.2354145342886,10.4384133611691
"men","100 metres",2015,10.2669404517454,10.4384133611691
"men","100 metres",2016,10.2040816326531,10.4384133611691
"men","100 metres",2017,10.183299389002,10.4384133611691
"men","100 metres",2018,10.2145045965271,10.4384133611691
"men","100 metres",2019,10.2459016393443,10.4384133611691
"men","100 metres",2020,10.1419878296146,10.4384133611691
"men","100 metres",2021,10.2459016393443,10.4384133611691
"men","100 metres",2022,10.2459016393443,10.4384133611691
"men","100 metres",2023,10.1729399796541,10.4384133611691
"men","100 metres",2024,10.2354145342886,10.4384133611691
"men","10000 metres",2001,6.156877231868,6.3653723742839
"men","10000 metres",2002,6.21357292870546,6.3653723742839
"men","10000 metres",2003,6.29239501138924,6.3653723742839
"men","10000 metres",2004,6.32787237946985,6.3653723742839
"men","10000 metres",2005,6.33902366357534,6.3653723742839
"men","10000 metres",2006,6.26711706347963,6.3653723742839
"men","10000 metres",2007,6.22591349715787,6.3653723742839
"men","10000 metres",2008,6.30528950736773,6.3653723742839
"men","10000 metres",2009,6.22544838792014,6.3653723742839
"men","10000 metres",2010,6.18528644061506,6.3653723742839
"men","10000 metres",2011,6.23768058085282,6.3653723742839
"men","10000 metres",2012,6.20670821023362,6.3653723742839
"men","10000 metres",2013,6.20724758227707,6.3653723742839
"men","10000 metres",2014,6.23301503403226,6.3653723742839
"men","10000 metres",2015,6.20744023786911,6.3653723742839
"men","10000 metres",2016,6.2069008323454,6.3653723742839
"men","10000 metres",2017,6.2130710588937,6.3653723742839
"men","10000 metres",2018,6.12366121456697,6.3653723742839
"men","10000 metres",2019,6.21751349200428,6.3653723742839
"men","10000 metres",2020,6.3653723742839,6.3653723742839
"men","10000 metres",2021,6.27380123342932,6.3653723742839
"men","10000 metres",2022,6.27415549866988,6.3653723742839
"men","10000 metres",2023,6.2086349695156,6.3653723742839
"men","10000 metres",2024,6.28531561712371,6.3653723742839
"men","100m backstroke LCM",2000,1.86150409530901,1.93798449612403
"men","100m backstroke LCM",2001,1.84128153194623,1.93798449612403
"men","100m backstroke LCM",2002,1.84604024367731,1.93798449612403
"men","100m backstroke LCM",2003,1.86532363365044,1.93798449612403
"men","100m backstroke LCM",2004,1.87090739008419,1.93798449612403
"men","100m backstroke LCM",2005,1.8807598269701,1.93798449612403
"men","100m backstroke LCM",2006,1.8754688672168,1.93798449612403
"men","100m backstroke LCM",2007,1.8875047187618,1.93798449612403
"men","100m backstroke LCM",2008,1.90331176246669,1.93798449612403
"men","100m backstroke LCM",2009,1.92529842125529,1.93798449612403
"men","100m backstroke LCM",2010,1.91901746305891,1.93798449612403
"men","100m backstroke LCM",2011,1.906941266209,1.93798449612403
"men","100m backstroke LCM",2012,1.92012288786482,1.93798449612403
"men","100m backstroke LCM",2013,1.88928773852258,1.93798449612403
"men","100m backstroke LCM",2014,1.9105846388995,1.93798449612403
"men","100m backstroke LCM",2015,1.91901746305891,1.93798449612403
"men","100m backstroke LCM",2016,1.92864030858245,1.93798449612403
"men","100m backstroke LCM",2017,1.92826841496336,1.93798449612403
"men","100m backstroke LCM",2018,1.92529842125529,1.93798449612403
"men","100m backstroke LCM",2019,1.91681042744873,1.93798449612403
"men","100m backstroke LCM",2020,1.90949016612564,1.93798449612403
"men","100m backstroke LCM",2021,1.92381685263563,1.93798449612403
"men","100m backstroke LCM",2022,1.93798449612403,1.93798449612403
"men","100m backstroke LCM",2023,1.92975685063682,1.93798449612403
"men","100m backstroke LCM",2024,1.92307692307692,1.93798449612403
"men","100m backstroke SCM",2000,1.97044334975369,2.06910821435961
"men","100m backstroke SCM",2001,1.91424196018377,2.06910821435961
"men","100m backstroke SCM",2002,1.97706603400554,2.06910821435961
"men","100m backstroke SCM",2003,1.97005516154452,2.06910821435961
"men","100m backstroke SCM",2004,1.9872813990461,2.06910821435961
"men","100m backstroke SCM",2005,1.9546520719312,2.06910821435961
"men","100m backstroke SCM",2006,2.000400080016,2.06910821435961
"men","100m backstroke SCM",2007,1.97589409207666,2.06910821435961
"men","100m backstroke SCM",2008,2.02757502027575,2.06910821435961
"men","100m backstroke SCM",2009,2.04331834899877,2.06910821435961
"men","100m backstroke SCM",2010,2.04290091930541,2.06910821435961
"men","100m backstroke SCM",2011,2.00601805416249,2.06910821435961
"men","100m backstroke SCM",2012,2.02061022428773,2.06910821435961
"men","100m backstroke SCM",2013,2.01734920314706,2.06910821435961
"men","100m backstroke SCM",2014,2.03045685279188,2.06910821435961
"men","100m backstroke SCM",2015,2.04415372035977,2.06910821435961
"men","100m backstroke SCM",2016,2.01531640467553,2.06910821435961
"men","100m backstroke SCM",2017,2.04498977505112,2.06910821435961
"men","100m backstroke SCM",2018,2.04582651391162,2.06910821435961
"men","100m backstroke SCM",2019,2.03707476064372,2.06910821435961
"men","100m backstroke SCM",2020,2.05846027171676,2.06910821435961
"men","100m backstroke SCM",2021,2.06910821435961,2.06910821435961
"men","100m backstroke SCM",2022,2.06185567010309,2.06910821435961
"men","100m backstroke SCM",2023,2.01126307320998,2.06910821435961
"men","100m backstroke SCM",2024,2.05086136177194,2.06910821435961
"men","100m breaststroke LCM",2000,1.65672630881378,1.75808720112518
